‥,0,0,0,Symbol,一般,リーダー,*,*,‥,‥,*,줄임표,*,SE
…,0,0,0,Symbol,一般,リーダー,*,*,…,…,*,줄임표,*,SE
......,0,0,0,Symbol,一般,リーダー,*,*,......,......,*,*,*,SE
!,0,0,0,Symbol,感嘆符,*,*,*,!,!,*,*,*,SF
.,0,0,0,Symbol,ピリオド,*,*,*,.,.,*,*,*,SF
?,0,0,0,Symbol,疑問符,*,*,*,?,?,*,*,*,SF
~,0,0,0,Symbol,一般,省略,*,*,~,~,*,물결:4시~5시,*,SO
∼,0,0,0,Symbol,一般,省略,*,*,∼,∼,*,물결:4시~5시,*,SO
～,0,0,0,Symbol,一般,省略,*,*,～,～,*,물결:4시~5시,*,SO
×,0,0,0,Symbol,一般,省略,*,*,×,×,*,숨김표:××씨,*,SO
○,0,0,0,Symbol,一般,省略,*,*,○,○,*,숨김표:○○씨,*,SO
",",0,0,0,Symbol,コンマ,*,*,*,",",",",*,*,*,SP
/,0,0,0,Symbol,一般,*,*,*,/,/,*,*,*,SP
:,0,0,0,Symbol,一般,*,*,*,:,:,*,*,*,SP
·,0,0,0,Symbol,一般,中点,*,*,·,·,*,*,*,SP
.,0,0,0,Symbol,一般,中点,*,*,.,.,*,*,*,SP
',0,0,0,Symbol,カッコ,引用符,*,*,',',*,*,*,SS
-,0,0,0,Symbol,一般,*,*,*,-,-,*,*,*,SS
－,0,0,0,Symbol,一般,ダッシュ,*,*,－,－,*,*,*,SS
(,0,0,0,Symbol,カッコ,丸-始,*,*,(,(,*,*,*,SS
),0,0,0,Symbol,カッコ,丸-終,*,*,),),*,*,*,SS
─,0,0,0,Symbol,一般,全角ダッシュ,*,*,*,*,*,*,*,SS
[,0,0,0,Symbol,カッコ,角-始,*,*,[,[,*,*,*,SS
],0,0,0,Symbol,カッコ,角-終,*,*,],],*,*,*,SS
{,0,0,0,Symbol,カッコ,大カッコ-始,*,*,{,{,*,*,*,SS
},0,0,0,Symbol,カッコ,大カッコ-終,*,*,},},*,*,*,SS
‘,0,0,0,Symbol,カッコ,引用符-始,*,*,‘,‘,*,*,*,SS
’,0,0,0,Symbol,カッコ,引用符-終,*,*,’,’,*,*,*,SS
“,0,0,0,Symbol,カッコ,二重引用符-始,*,*,“,“,*,*,*,SS
”,0,0,0,Symbol,カッコ,二重引用符-終,*,*,”,”,*,*,*,SS
〈,0,0,0,Symbol,カッコ,山-始,*,*,〈,〈,*,*,*,SS
〉,0,0,0,Symbol,カッコ,山-終,*,*,〉,〉,*,*,*,SS
《,0,0,0,Symbol,カッコ,二重山-始,*,*,《,《,*,*,*,SS
》,0,0,0,Symbol,カッコ,二重山-終,*,*,》,》,*,*,*,SS
「,0,0,0,Symbol,カッコ,一重カギ-始,*,*,「,「,*,*,*,SS
」,0,0,0,Symbol,カッコ,一重カギ-終,*,*,」,」,*,*,*,SS
『,0,0,0,Symbol,カッコ,二重カギ-始,*,*,『,『,*,*,*,SS
』,0,0,0,Symbol,カッコ,二重カギ-終,*,*,』,』,*,*,*,SS
＜,0,0,0,Symbol,カッコ,山-始,*,*,＜,＜,*,*,*,SS
<,0,0,0,Symbol,カッコ,山-始,*,*,<,<,*,*,*,SS
